miRNA,mLi_1,mLi_2,mLi_3,mLu_1,mLu_2,mLu_3,nCR_1,nCR_2,nCR_3,nLi_1,nLi_2,nLi_3,nLu_1,nLu_2,nLu_3,pCRC_1,pCRC_2,pCRC_3
Hsa-Mir-3187_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3187_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3194_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3194_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-31_3p*,0.0,0.0,0.0,0.0,0.0,37.6252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6599
Hsa-Mir-31_5p,176.3209,9.9584,10.2258,246.3618,11.7027,1915.1214,7.5595,5.8939,0.0,13.4666,3.2074,0.0,15.9337,24.2309,69.6112,96.4389,25.8116,557.2131
Hsa-Mir-3200_3p,3.2957,0.0,0.0,6.5406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4065,0.0,0.0,3.7628,0.0,6.4529,0.0
Hsa-Mir-3200_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-324_3p*,19.7743,5.6905,24.542,0.0,28.0865,18.8126,45.3568,13.2612,9.8442,28.8571,14.4335,8.1098,0.0,33.9232,15.0511,16.772,15.0568,19.9798
Hsa-Mir-324_5p,57.6751,21.3394,75.6711,26.1623,60.854,39.5064,68.0353,70.7264,29.5325,32.7047,32.0745,13.5164,79.6683,55.731,54.5601,71.2809,55.9252,35.5196
Hsa-Mir-325_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-325_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-326_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5013,0.0,0.0,0.0,0.0,104.1927,0.0,37.737,0.0,0.0
Hsa-Mir-326_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-328_3p,36.2529,62.5955,55.2195,13.0812,0.0,5.6438,65.5154,25.0489,61.0338,121.1998,41.6968,197.3389,310.7062,128.4235,16.9324,0.0,0.0,22.1997
Hsa-Mir-328_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-32_3p*,0.0,7.1131,0.0,0.0,9.3622,0.0,7.5595,0.0,0.0,0.0,4.8112,0.0,0.0,0.0,3.7628,20.965,0.0,4.4399
